city,MAE,RMSE
Washington D.C.,32.04,39.34
Ottawa,39.04,41.74
Mexico City,37.24,43.51
San José,12.87,15.39
Guatemala City,0.0,0.0
Panama City,11.02,14.24
Bridgetown,21.46,22.73
Kingston,35.58,39.93
Kingstown,13.08,14.87
Port of Spain,23.53,30.03
St. John's,8.68,9.71
Brasilia,32.56,38.28
Santiago,68.75,73.76
Lima,15.92,22.44
Quito,13.26,16.0
Bogotá,24.51,33.42
Georgetown,9.37,12.42
Berlin,9.06,12.22
Paris,16.62,29.67
London,17.97,21.11
Madrid,17.59,23.87
Rome,19.0,20.36
Vienna,20.25,23.53
Warsaw,23.49,25.57
Prague,22.56,27.18
Budapest,10.79,13.61
Bucharest,1.59,1.93
Athens,74.77,164.16
Sofia,19.96,22.04
Brussels,18.58,20.29
Amsterdam,16.03,18.31
Dublin,7.28,8.52
Bern,57.47,64.05
Stockholm,7.46,11.54
Helsinki,21.43,22.16
Copenhagen,7.62,10.08
Kyiv,0.0,0.0
Andorra la Vella,13.05,15.5
Sarajevo,10.52,13.98
Zagreb,27.05,29.03
Nicosia,6.26,8.1
Pristina,5.78,7.63
Belgrade,19.8,25.84
Chișinău,0.0,0.0
Skopje,52.84,55.93
Tallinn,15.19,17.33
Oslo,20.33,26.36
Lisbon,18.91,19.89
Vilnius,5.82,7.91
Reykjavík,2.31,4.61
Yerevan,0.0,0.0
Baku,0.0,0.0
Tbilisi,25.04,28.03
Valletta,9.32,10.6
Podgorica,32.97,34.54
Ljubljana,18.72,21.84
Bratislava,21.07,24.49
Cairo,0.0,0.0
Nairobi,0.0,0.0
Pretoria,0.0,0.0
Algiers,0.0,0.0
Ouagadougou,0.0,0.0
N'Djamena,0.0,0.0
Kinshasa,0.0,0.0
Addis Ababa,0.0,0.0
Accra,0.0,0.0
Abuja,0.0,0.0
Khartoum,0.0,0.0
Kampala,0.0,0.0
Kigali,0.0,0.0
Antananarivo,0.0,0.0
Bamako,0.0,0.0
Lomé,0.0,0.0
Libreville,0.0,0.0
Conakry,0.0,0.0
Port Louis,0.0,0.0
Victoria,37.64,38.45
Moscow,21.7,23.76
Beijing,47.02,54.51
Tokyo,9.54,11.69
Seoul,80.21,87.06
Hanoi,13.7,14.08
Bangkok,11.69,14.77
Jakarta,32.8,41.82
Kuala Lumpur,20.14,20.44
Singapore,10.51,13.09
New Delhi,49.3,61.49
Islamabad,0.0,0.0
Kabul,0.0,0.0
Tehran,5.48,6.38
Baghdad,0.0,0.0
Riyadh,0.0,0.0
Dhaka,0.0,0.0
Astana,0.73,1.46
Bishkek,0.0,0.0
Dushanbe,0.0,0.0
Ashgabat,0.0,0.0
Tashkent,7.54,9.12
Jerusalem,6.46,8.11
Amman,3.64,4.39
Abu Dhabi,42.9,48.65
Kuwait City,0.0,0.0
Ulaanbaatar,24.22,35.96
Ankara,1.14,1.45
Taipei,24.58,26.71
Manama,0.0,0.0
Bandar Seri Begawan,1.16,2.56
Colombo,0.0,0.0
Dili,49.31,61.17
Canberra,2.13,2.55
Suva,14.15,16.45
